open_time,avg,wgtavg,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2022-04-08 22:33:00,0.10660000000000001,0.3507462226579873,42409.0,42409.01,42367.01,42384.64,3.75072,158990.77,254,1.41116,59816.07
2022-04-08 22:34:00,0.22827714285714285,0.25279922998931303,42384.63,42387.5,42344.08,42373.66,5.21452,220892.7,229,1.48407,62871.58
2022-04-08 22:35:00,0.14208,0.29977523430139325,42369.76,42424.41,42369.75,42415.69,5.10597,216482.45,213,3.03908,128832.95
2022-04-08 22:36:00,0.20744871794871797,0.3332157793284067,42415.68,42453.85,42415.42,42439.52,5.04461,214064.31,252,3.75288,159234.84
2022-04-08 22:37:00,0.16352794117647057,0.05296252672750977,42439.51,42451.54,42412.62,42415.94,2.93812,124666.83,162,0.69743,29594.648
2022-04-08 22:38:00,0.1740855072463768,-0.0043040305767894395,42415.93,42439.41,42413.1,42424.94,2.48492,105414.29,191,0.55836,23684.244
2022-04-08 22:39:00,0.14696279069767443,0.30527053437111645,42424.94,42430.97,42412.68,42412.69,2.13272,90468.805,183,0.92698,39320.66
2022-04-08 22:40:00,0.17036857142857142,0.3154936006332771,42412.66,42419.3,42393.09,42407.6,2.21973,94134.94,171,0.83354,35347.555
2022-04-08 22:41:00,0.19164782608695652,0.34974557870894674,42407.59,42407.59,42362.01,42376.54,6.57437,278597.5,343,3.30816,140165.81
2022-04-08 22:42:00,0.16008990825688074,0.06076187262529401,42376.53,42376.53,42258.88,42270.96,13.57103,574265.25,609,3.38279,143182.31
2022-04-08 22:43:00,0.1604736842105263,0.28594109508087207,42270.96,42341.42,42260.84,42324.42,6.47485,273897.2,378,3.16843,134005.53
2022-04-08 22:44:00,0.25455164835164834,0.3043790636862084,42324.43,42377.0,42321.37,42375.69,4.10165,173730.72,260,2.16644,91755.48
2022-04-08 22:45:00,0.18636370967741936,0.12255551660516605,42375.68,42380.78,42331.65,42331.65,3.70679,157048.31,237,2.81872,119427.13
2022-04-08 22:46:00,0.19676372549019608,0.25749953735926306,42331.66,42373.62,42331.65,42371.47,3.01967,127920.945,183,1.06583,45141.723
2022-04-08 22:47:00,0.18946280991735537,0.46161149177907357,42371.45,42410.83,42371.4,42405.24,13.7486,582834.44,363,7.76389,329066.66
2022-04-08 22:48:00,0.22269740259740262,0.3303145493516632,42405.25,42416.83,42402.34,42408.81,2.75448,116822.555,169,1.09871,46599.59
2022-04-08 22:49:00,0.14894444444444443,0.25754923759236653,42413.7,42416.83,42406.65,42415.6,2.60194,110351.734,150,0.52834,22407.986
2022-04-08 22:50:00,0.20677657657657658,0.35293495613057485,42415.59,42420.0,42404.29,42415.06,2.09431,88830.53,153,1.06507,45174.625
2022-04-08 22:51:00,0.12489649122807019,0.3107315045190857,42415.06,42426.89,42415.06,42425.73,0.86117,36532.69,110,0.54299,23034.047
2022-04-08 22:52:00,0.22242745098039216,0.2556364147534148,42425.73,42476.99,42425.73,42455.16,3.66447,155553.5,297,3.30717,140381.48
2022-04-08 22:53:00,0.1812514285714286,0.16656251028032998,42454.84,42460.27,42441.67,42454.71,8.60922,365499.78,232,5.79836,246166.58
2022-04-08 22:54:00,0.21441417322834644,0.31375318160826504,42453.99,42463.77,42450.0,42452.13,3.63846,154471.69,109,2.98939,126913.25
2022-04-08 22:55:00,0.24071348314606741,0.11566489614684353,42450.0,42461.56,42443.33,42445.66,2.15755,91598.914,120,0.89352,37931.76
2022-04-08 22:56:00,0.17891333333333334,0.12531326978319593,42445.66,42445.67,42406.99,42406.99,1.19189,50564.15,157,0.52916,22449.002
2022-04-08 22:57:00,0.2281867924528302,0.29308080445188844,42406.99,42412.6,42402.09,42405.3,3.25265,137941.12,127,1.62018,68710.45
2022-04-08 22:58:00,0.17746153846153845,0.07885605953124114,42405.3,42405.3,42307.01,42344.47,10.1754,430854.03,510,2.49177,105475.875
2022-04-08 22:59:00,0.14259069767441862,0.28460816310739706,42342.41,42342.42,42304.94,42305.52,2.0594,87147.44,209,0.68164,28842.781
2022-04-08 23:00:00,0.1380705882352941,0.22701536664736768,42305.52,42305.79,42262.21,42263.26,8.20198,346784.97,587,2.04828,86595.984
2022-04-08 23:01:00,0.15144214876033057,0.23336222734730874,42263.26,42276.27,42190.96,42269.99,42.75557,1805288.9,1798,12.33495,520811.03
2022-04-08 23:02:00,0.16278495575221238,0.2763659473235242,42270.0,42371.07,42270.0,42340.22,19.09529,808424.25,629,9.25244,391665.5
2022-04-08 23:03:00,0.17491428571428572,0.3369667896548368,42340.23,42361.79,42282.58,42352.6,9.95609,421468.78,337,3.81996,161685.52
2022-04-08 23:04:00,0.24941684210526316,0.12601594109610634,42352.59,42352.59,42310.09,42319.99,3.04652,128950.055,210,0.99554,42129.414
2022-04-08 23:05:00,0.180597247706422,0.023153587198599362,42319.99,42329.88,42304.71,42304.71,1.23684,52347.586,147,0.42877,18146.654
2022-04-08 23:06:00,0.1715267857142857,0.3010905888364932,42304.71,42327.48,42295.92,42295.92,3.78345,160082.17,210,1.3025,55101.84
2022-04-08 23:07:00,0.15713142857142856,0.16000247372760923,42295.91,42295.91,42186.87,42186.87,7.94424,335406.5,685,2.46126,103891.87
2022-04-08 23:08:00,0.1846490566037736,0.2191018158304801,42186.88,42206.02,42166.73,42168.77,14.20002,599006.1,736,2.95125,124484.07
2022-04-08 23:09:00,0.18171910112359552,0.1346232018270054,42166.74,42255.61,42161.08,42204.38,16.01685,675783.9,486,9.56869,403700.72
2022-04-08 23:10:00,0.17670113636363635,0.3074175533455634,42202.31,42202.31,42161.3,42178.27,9.3343,393667.53,354,5.085,214440.89
2022-04-08 23:11:00,0.1899793103448276,0.25358073633531575,42180.39,42185.68,42123.13,42150.0,17.08272,719985.06,789,6.34335,267347.28
2022-04-08 23:12:00,0.21356181818181819,0.3518546063281347,42154.05,42160.34,42121.0,42151.51,29.87598,1258636.1,553,9.67238,407553.56
2022-04-08 23:13:00,0.2087890756302521,0.23857461942844355,42151.51,42262.5,42151.51,42255.03,7.8413,331097.53,410,5.14134,217067.95
2022-04-08 23:14:00,0.20622222222222222,0.34498441561604465,42255.03,42276.17,42211.84,42219.6,6.10831,258095.17,364,3.8466,162524.06
2022-04-08 23:15:00,0.20246808510638298,0.2839186347961426,42219.59,42219.6,42150.75,42154.49,5.82656,245777.19,367,2.28658,96438.65
2022-04-08 23:16:00,0.2103957894736842,0.3481321624929164,42154.49,42188.99,42128.14,42149.06,4.21149,177537.55,313,1.38266,58291.855
2022-04-08 23:17:00,0.10912685185185185,0.2579423170591943,42144.89,42200.0,42143.15,42199.99,3.58421,151159.88,212,2.45855,103691.13
2022-04-08 23:18:00,0.16163218390804598,0.3224025465110767,42200.0,42200.0,42159.25,42166.89,2.76845,116772.31,220,0.79646,33586.8
2022-04-08 23:19:00,0.2116504761904762,0.36593665472545367,42166.89,42194.12,42166.89,42194.12,3.78769,159778.53,168,1.26153,53214.902
2022-04-08 23:20:00,0.2289767857142857,0.36141916661138257,42194.13,42277.77,42187.02,42265.09,10.10463,426869.84,422,5.54252,234069.95
2022-04-08 23:21:00,0.20638653846153845,0.37611980444076687,42265.08,42300.0,42256.3,42299.99,2.48894,105228.81,239,0.84602,35772.055
2022-04-08 23:22:00,0.19456907216494845,0.13679180928373083,42300.0,42309.65,42254.37,42254.37,3.88434,164231.2,245,1.69332,71587.57
2022-04-08 23:23:00,0.136052,0.17761412323797765,42254.38,42272.42,42236.62,42237.88,2.99024,126365.516,157,0.99825,42180.777
2022-04-08 23:24:00,0.20595816326530614,0.2693387815992573,42237.88,42237.88,42170.84,42180.91,4.82185,203463.5,418,1.75947,74238.88
2022-04-08 23:25:00,0.2104546218487395,0.2846069698850436,42180.91,42224.34,42178.74,42184.43,1.58965,67087.09,187,0.88155,37198.992
2022-04-08 23:26:00,0.180315,0.268665888164011,42180.91,42212.31,42180.9,42212.13,1.50428,63482.883,115,0.8007,33789.24
2022-04-08 23:27:00,0.14101951219512193,0.014541935119887167,42212.12,42230.4,42186.57,42186.58,8.04109,339404.47,291,3.67938,155308.83
2022-04-08 23:28:00,0.23823301886792453,0.21715618337539713,42186.03,42198.21,42151.28,42187.14,9.48127,399898.5,259,3.01155,127024.305
2022-04-08 23:29:00,0.2748354430379747,0.3617740652741822,42187.14,42187.14,42159.94,42162.24,2.03888,85979.05,215,0.67032,28265.648
2022-04-08 23:30:00,0.14057286821705428,0.2728199827388658,42162.24,42249.98,42162.24,42226.12,6.39376,269881.3,220,4.97869,210140.11
2022-04-08 23:31:00,0.16642033898305084,0.3725035092319743,42226.12,42226.12,42203.51,42206.75,3.47118,146534.55,142,0.53079,22407.129
2022-04-08 23:32:00,0.19696767676767676,0.10838376260827608,42206.75,42206.76,42158.07,42161.22,4.21575,177799.11,200,2.23716,94340.164
2022-04-08 23:33:00,0.17094444444444445,0.16332613683483066,42158.01,42177.79,42158.01,42169.29,3.45281,145597.48,147,2.52209,106348.02
2022-04-08 23:34:00,0.21639702970297028,0.3566380985167734,42169.28,42199.74,42163.14,42195.9,2.52979,106699.15,149,1.48763,62748.688
2022-04-08 23:35:00,0.12481976744186048,0.14955545765686704,42199.72,42220.0,42185.2,42219.99,2.62914,110963.63,171,1.08893,45961.676
2022-04-08 23:36:00,0.20264190476190477,0.3418887490804315,42220.0,42250.2,42220.0,42242.93,4.01014,169374.89,184,1.77914,75137.336
2022-04-08 23:37:00,0.1648358695652174,0.3255763543051039,42240.54,42268.64,42240.54,42250.2,2.37238,100245.19,178,0.91867,38817.17
2022-04-08 23:38:00,0.2437222222222222,0.3744223707474335,42250.2,42260.04,42194.21,42194.22,3.92353,165689.31,160,1.07244,45282.7
2022-04-08 23:39:00,0.1869825,0.3271147288567599,42194.22,42206.48,42159.25,42159.25,5.52506,233099.42,233,1.26118,53212.48
2022-04-08 23:40:00,0.10309101123595506,0.12050910665960278,42159.25,42169.9,42159.25,42164.48,1.86588,78673.0,129,0.9285,39147.633
2022-04-08 23:41:00,0.16214183673469387,0.279070956012654,42164.48,42164.49,42143.01,42143.89,4.52562,190777.1,268,2.69,113399.43
2022-04-08 23:42:00,0.23654838709677417,0.136871715015572,42143.89,42160.71,42129.52,42129.52,5.50228,231911.23,253,2.82185,118934.945
2022-04-08 23:43:00,0.1868490566037736,0.2223262508991512,42129.52,42162.27,42128.1,42150.0,9.26747,390499.66,248,6.08582,256418.11
2022-04-08 23:44:00,0.16878536585365855,-0.005338269823252796,42153.64,42155.28,42131.93,42155.27,1.31297,55334.47,125,0.72931,30734.434
2022-04-08 23:45:00,0.15990927835051547,0.04289877347062386,42155.27,42169.88,42147.61,42166.04,3.05709,128891.31,190,1.22946,51835.836
2022-04-08 23:46:00,0.12298426966292135,0.048178855952160066,42166.04,42217.71,42166.04,42214.56,5.41254,228365.98,237,2.41961,102094.64
2022-04-08 23:47:00,0.198132183908046,0.2817489275036263,42214.55,42276.17,42214.55,42259.58,3.34828,141465.62,256,2.20661,93210.445
2022-04-08 23:48:00,0.2221061855670103,0.33778968136529547,42259.57,42259.57,42220.0,42244.74,4.73289,199901.33,235,1.71608,72482.74
2022-04-08 23:49:00,0.20448691588785045,0.29757960204676986,42244.74,42244.75,42228.81,42231.88,1.99476,84250.51,127,1.09132,46089.516
2022-04-08 23:50:00,0.14837333333333333,0.2282444109282082,42237.55,42261.35,42237.55,42257.64,13.53395,571863.25,167,1.72971,73080.766
2022-04-08 23:51:00,0.18681182795698925,0.17878055127953457,42257.64,42259.8,42245.7,42258.64,12.49298,527878.06,151,1.44628,61109.22
